A1	gaeun-suit-neutral
A2	gaeun-suit-smile
A3	gaeun-suit-displeased
A4	gaeun-suit-shy
A5	gaeun-suit-flustered
A6	gaeun-suit-contempt
A7	gaeun-suit-angry
A8	gaeun-suit-tears
A9	gaeun-suit-happy
A10	gaeun-suit-aroused
A11	gaeun-suit-disgust
A12	gaeun-suit-hatred
A13	gaeun-suit-question
A14	gaeun-suit-seduce
A15	gaeun-suit-sulk
A16	gaeun-suit-affection
A17	gaeun-suit-admire
A18	gaeun-suit-fury
A19	gaeun-suit-kiss
A20	gaeun-suit-kiss-after
A22	gaeun-suit-missionary
A23	gaeun-suit-missionary-2
A24	gaeun-suit-missionary-3
A25	gaeun-suit-missionary-4
A26	gaeun-suit-missionary-cum
A27	gaeun-suit-missionary-climax
A28	gaeun-suit-doggy
A29	gaeun-suit-doggy-2
A30	gaeun-suit-doggy-3
A31	gaeun-suit-doggy-4
A32	gaeun-suit-doggy-cum
A33	gaeun-suit-cowgirl
A34	gaeun-suit-cowgirl-2
A35	gaeun-suit-cowgirl-3
A36	gaeun-suit-cowgirl-4
A37	gaeun-suit-cowgirl-cum
A38	gaeun-suit-anal
A39	gaeun-suit-anal-2
A40	gaeun-suit-anal-cum
A41	gaeun-suit-spooning
A42	gaeun-suit-spooning-2
A43	gaeun-suit-spooning-cum
A44	gaeun-suit-mating-press
A45	gaeun-suit-mating-press-2
A46	gaeun-suit-mating-press-cum
A47	gaeun-suit-spanking
A48	gaeun-suit-standing-doggy
A49	gaeun-suit-rough-doggy-cum
A50	gaeun-suit-missionary-choke
A51	gaeun-suit-missionary-choke-2
A52	gaeun-suit-missionary-choke-cum
A53	gaeun-suit-doggy-choke
A54	gaeun-suit-doggy-choke-2
A55	gaeun-suit-doggy-choke-cum
A56	gaeun-suit-reverse-seated
A57	gaeun-suit-reverse-seated-kiss
A58	gaeun-suit-full-nelson
A59	gaeun-suit-suspended
A60	gaeun-suit-full-nelson-cum
A61	gaeun-suit-fellatio
A62	gaeun-suit-fellatio-2
A63	gaeun-suit-bukkake
A64	gaeun-suit-deepthroat
A65	gaeun-suit-mouth-cum
A66	gaeun-suit-cock-smell
A67	gaeun-suit-cock-on-face
A68	gaeun-suit-mouth-cum-show
A69	gaeun-suit-handjob
A70	gaeun-suit-handjob-2
A71	gaeun-suit-handjob-cum
A72	gaeun-suit-milk-handjob
A73	gaeun-suit-milk-handjob-cum
A74	gaeun-suit-breast-suck
A75	gaeun-suit-breast-grope
A76	gaeun-suit-cunnilingus
A77	gaeun-suit-fingering-masturbate
A78	gaeun-suit-fingering
A79	gaeun-suit-fingering-climax
A80	gaeun-suit-paizuri
A81	gaeun-suit-paizuri-2
A82	gaeun-suit-paizuri-cum
A83	gaeun-suit-amazon
A84	gaeun-suit-cowgirl-choke-femdom
A85	gaeun-suit-cowgirl-choke-femdom-2
A86	gaeun-suit-rimjob
A87	gaeun-suit-rimjob-cum
A88	gaeun-suit-footjob
A89	gaeun-suit-footjob-cum
A90	gaeun-suit-anal-fingering-femdom
A91	gaeun-suit-end
A92	gaeun-suit-cum-v-pose
A93	gaeun-suit-missionary-photo-facehidden
A94	gaeun-suit-missionary-photo-v
A95	gaeun-suit-cowgirl-photo
A96	gaeun-suit-armpit-lick
A97	gaeun-suit-forced-cunnilingus-femdom
A98	gaeun-suit-pegging-doggy
A99	gaeun-suit-facesitting
A100	gaeun-suit-nude-lewd-dance
A101	gaeun-suit-nude-twerk
A102	gaeun-suit-office-missionary
A103	gaeun-suit-office-missionary-cum
A104	gaeun-suit-office-doggy
A105	gaeun-suit-office-doggy-cum
A106	gaeun-suit-office-cowgirl
A107	gaeun-suit-office-cowgirl-cum
A108	gaeun-suit-office-fellatio
A109	gaeun-suit-office-deepthroat
A110	gaeun-suit-office-mouth-cum
B1	gaeun-casual-neutral
B2	gaeun-casual-smile
B3	gaeun-casual-displeased
B4	gaeun-casual-shy
B5	gaeun-casual-flustered
B6	gaeun-casual-contempt
B7	gaeun-casual-angry
B8	gaeun-casual-tears
B9	gaeun-casual-happy
B10	gaeun-casual-aroused
B11	gaeun-casual-disgust
B12	gaeun-casual-hatred
B13	gaeun-casual-question
B14	gaeun-casual-seduce
B15	gaeun-casual-sulk
B16	gaeun-casual-affection
B17	gaeun-casual-admire
B18	gaeun-casual-fury
B19	gaeun-casual-kiss
B20	gaeun-casual-kiss-after
EV1	ev-shush-seduce
EV2	ev-uncomfortable
EV3	ev-moved-tears
EV4	ev-stretch-tired
EV5	ev-awkward
EV6	ev-shy-flustered
EV7	ev-shocked-comic
EV8	ev-sorry-fidget
EV9	ev-shy-facehide
EV10	ev-sleeve-grab
EV11	ev-arm-in-arm
EV12	ev-phone-call
EV13	ev-texting
EV14	ev-hug
EV15	ev-office-butt-touched
EV16	ev-office-butt-touched-turn
EV17	ev-office-butt-hide
EV18	ev-wedding
EV19	ev-pregnant
EV20	ev-parenting
EV21	ev-clothed-spanking
EV22	ev-clothed-spanking-2
EV23	ev-office-grumble
EV24	ev-casual-look-down
EV25	ev-casual-shocked
EV26	ev-date-basic
EV27	ev-date-cafe
EV28	ev-date-cafe-shy
EV29	ev-date-walk
EV30	ev-date-arm-in-arm
EV31	ev-date-restaurant
EV32	ev-date-kiss
C1	minhyuk-neutral
C2	minhyuk-displeased
WW1	gaeun-ww1
WW2	gaeun-ww2
